Query;Method;Median(Severity)
Q1;Daagi et al.;0
Q2;Daagi et al.;0.0497859177739635
Q3;Daagi et al.;0.0497859177739635
Q4;Daagi et al.;0
Q5;Daagi et al.;0
Q6;Daagi et al.;0
Q7;Daagi et al.;0.0165953059246545
Q8;Daagi et al.;0
Q9;Daagi et al.;0.0165953059246545
Q10;Daagi et al.;0.0497859177739635
Q11;Daagi et al.;0.0497859177739635
Q12;Daagi et al.;0.0497859177739635
Q13;Daagi et al.;0
Q14;Daagi et al.;0
Q15;Daagi et al.;0.0165953059246545
Q16;Daagi et al.;0
Q17;Daagi et al.;0
Q18;Daagi et al.;0.0497859177739635
Q19;Daagi et al.;0
Q20;Daagi et al.;0
Q21;Daagi et al.;0
Q22;Daagi et al.;0
Q23;Daagi et al.;0
Q24;Daagi et al.;0
Q25;Daagi et al.;0
Q26;Daagi et al.;0
Q27;Daagi et al.;0.0165953059246545
Q28;Daagi et al.;0
Q29;Daagi et al.;0
Q30;Daagi et al.;0.0497859177739635
Q31;Daagi et al.;0
Q32;Daagi et al.;0
Q33;Daagi et al.;0
Q34;Daagi et al.;0
Q35;Daagi et al.;0
Q36;Daagi et al.;0
Q37;Daagi et al.;0.0165953059246545
Q38;Daagi et al.;0
Q39;Daagi et al.;0
Q40;Daagi et al.;0
Q41;Daagi et al.;0
Q42;Daagi et al.;0
Q43;Daagi et al.;0
Q44;Daagi et al.;0
Q45;Daagi et al.;0
Q46;Daagi et al.;0
Q47;Daagi et al.;0
Q48;Daagi et al.;0
Q49;Daagi et al.;0
Q50;Daagi et al.;0
Q51;Daagi et al.;0
Q52;Daagi et al.;0.0165953059246545
Q53;Daagi et al.;0
Q54;Daagi et al.;0
Q55;Daagi et al.;0
Q56;Daagi et al.;0
Q57;Daagi et al.;0
Q58;Daagi et al.;0
Q59;Daagi et al.;0
Q60;Daagi et al.;0
Q61;Daagi et al.;0
Q62;Daagi et al.;0
Q63;Daagi et al.;0
Q64;Daagi et al.;0
Q65;Daagi et al.;0
Q66;Daagi et al.;0
Q67;Daagi et al.;0
Q68;Daagi et al.;0
Q69;Daagi et al.;0
Q70;Daagi et al.;0
Q71;Daagi et al.;1.92587683270812
Q72;Daagi et al.;0
Q73;Daagi et al.;0
Q74;Daagi et al.;0.0165953059246545
Q75;Daagi et al.;0
Q76;Daagi et al.;0
Q77;Daagi et al.;0
Q78;Daagi et al.;0
Q79;Daagi et al.;0
Q80;Daagi et al.;0
Q81;Daagi et al.;0
Q82;Daagi et al.;0
Q83;Daagi et al.;0
Q84;Daagi et al.;0
Q85;Daagi et al.;0
Q86;Daagi et al.;0
Q87;Daagi et al.;0
Q88;Daagi et al.;0
Q89;Daagi et al.;0
Q90;Daagi et al.;0
Q91;Daagi et al.;0
Q92;Daagi et al.;0
Q93;Daagi et al.;0
Q94;Daagi et al.;0
Q95;Daagi et al.;0
Q96;Daagi et al.;0
Q97;Daagi et al.;0
Q98;Daagi et al.;0
Q99;Daagi et al.;0
Q100;Daagi et al.;0
