Query;Method;median(Throughput)
Q1;Daagi et al.;27.9222222222222
Q2;Daagi et al.;30.92
Q3;Daagi et al.;30.98
Q4;Daagi et al.;29.0066666666667
Q5;Daagi et al.;26.2955555555556
Q6;Daagi et al.;27.8655555555556
Q7;Daagi et al.;30.3233333333333
Q8;Daagi et al.;27.0066666666667
Q9;Daagi et al.;30.24
Q10;Daagi et al.;30.95
Q11;Daagi et al.;30.92
Q12;Daagi et al.;30.98
Q13;Daagi et al.;22.5844444444444
Q14;Daagi et al.;29.9766666666667
Q15;Daagi et al.;30.3233333333333
Q16;Daagi et al.;26.7388888888889
Q17;Daagi et al.;28.0855555555556
Q18;Daagi et al.;30.95
Q19;Daagi et al.;29.9866666666667
Q20;Daagi et al.;28.94
Q21;Daagi et al.;28.6766666666667
Q22;Daagi et al.;29.8066666666667
Q23;Daagi et al.;29.8766666666667
Q24;Daagi et al.;25.9688888888889
Q25;Daagi et al.;25.2822222222222
Q26;Daagi et al.;28.5766666666667
Q27;Daagi et al.;30.3233333333333
Q28;Daagi et al.;27.7388888888889
Q29;Daagi et al.;28.73
Q30;Daagi et al.;30.8633333333333
Q31;Daagi et al.;28.6766666666667
Q32;Daagi et al.;17.5488888888889
Q33;Daagi et al.;26.5211111111111
Q34;Daagi et al.;26.1344444444444
Q35;Daagi et al.;29.6133333333333
Q36;Daagi et al.;27.0511111111111
Q37;Daagi et al.;30.3266666666667
Q38;Daagi et al.;23.6422222222222
Q39;Daagi et al.;27.9655555555556
Q40;Daagi et al.;26.5511111111111
Q41;Daagi et al.;29.93
Q42;Daagi et al.;25.4744444444444
Q43;Daagi et al.;19.1355555555556
Q44;Daagi et al.;29.1866666666667
Q45;Daagi et al.;19.1355555555556
Q46;Daagi et al.;25.7488888888889
Q47;Daagi et al.;24.7511111111111
Q48;Daagi et al.;25.6877777777778
Q49;Daagi et al.;24.8388888888889
Q50;Daagi et al.;23.6955555555556
Q51;Daagi et al.;16.7488888888889
Q52;Daagi et al.;30.3866666666667
Q53;Daagi et al.;23.6955555555556
Q54;Daagi et al.;13.9755555555556
Q55;Daagi et al.;26.5211111111111
Q56;Daagi et al.;28.0955555555556
Q57;Daagi et al.;26.8011111111111
Q58;Daagi et al.;25.6477777777778
Q59;Daagi et al.;23.6955555555556
Q60;Daagi et al.;23.9355555555556
Q61;Daagi et al.;21.0155555555556
Q62;Daagi et al.;24.4188888888889
Q63;Daagi et al.;23.4422222222222
Q64;Daagi et al.;21.1133333333333
Q65;Daagi et al.;24.5755555555556
Q66;Daagi et al.;23.2022222222222
Q67;Daagi et al.;18.0155555555556
Q68;Daagi et al.;22.8977777777778
Q69;Daagi et al.;23.6955555555556
Q70;Daagi et al.;16.6155555555556
Q71;Daagi et al.;4.24444444444444
Q72;Daagi et al.;22.0911111111111
Q73;Daagi et al.;24.7511111111111
Q74;Daagi et al.;30.3866666666667
Q75;Daagi et al.;25.7688888888889
Q76;Daagi et al.;26.7888888888889
Q77;Daagi et al.;24.6288888888889
Q78;Daagi et al.;26.7955555555556
Q79;Daagi et al.;28.7533333333333
Q80;Daagi et al.;29.7233333333333
Q81;Daagi et al.;23.6422222222222
Q82;Daagi et al.;24.0711111111111
Q83;Daagi et al.;23.4422222222222
Q84;Daagi et al.;19.6166666666667
Q85;Daagi et al.;23.9755555555556
Q86;Daagi et al.;25.0355555555556
Q87;Daagi et al.;21.3666666666667
Q88;Daagi et al.;24.0322222222222
Q89;Daagi et al.;23.8444444444444
Q90;Daagi et al.;24.9444444444444
Q91;Daagi et al.;28.0955555555555
Q92;Daagi et al.;28.0955555555555
Q93;Daagi et al.;28.0955555555556
Q94;Daagi et al.;28.0955555555556
Q95;Daagi et al.;27.3211111111111
Q96;Daagi et al.;27.4511111111111
Q97;Daagi et al.;28.0955555555556
Q98;Daagi et al.;28.0955555555555
Q99;Daagi et al.;28.54
Q100;Daagi et al.;28.0955555555556
